arr,desc,full_desc,img,price,price_surf,rooms_num,surface
16,location Appartement 2 pièces Paris 16ème,CHARMANT F2 DE 36m² EN rez-de-chaussée SUR COUR - A proximité de la Porte...,http://2.visuels.poliris.com/c175/2/e/5/3/2e53ed0b-3dd3.jpg,764,21.2222222222,2.0,36.0
8,location Appartement 3 pièces Paris 8ème,"RÉF. 13143 - Appartement meublé d'environ 85 m², situé rue de Ponthieu (...",http://2.visuels.poliris.com/c175/2/c/2/0/2c20f434-4099.jpg,3500,41.1764705882,3.0,85.0
16,location Appartement 2 pièces Paris 16ème,"RÉF. 13023 - Appartement meublé d'environ 50 m², situé rue Pergolèse (...",http://5.visuels.poliris.com/c175/5/4/9/b/549b1c5a-4ced.jpg,2200,44.0,2.0,50.0
8,location Appartement 2 pièces Paris 8ème,"RÉF. 13142 - Appartement meublé d'environ 24 m², situé rue Galilée (...",http://2.visuels.poliris.com/c175/2/2/2/0/2220cabb-3d20.jpg,1200,50.0,2.0,24.0
2,location Appartement 2 pièces Paris 2ème,"RÉF. 5768 - Appartement meublé d'environ 32 m², situé rue Poissonnière (...",http://9.visuels.poliris.com/c175/9/7/c/a/97ca0fc5-2e4f.jpg,1300,40.625,2.0,32.0
9,location Appartement 2 pièces Paris 9ème,"RÉF. 2758 - Appartement meublé d'environ 40 m², situé boulevard de la...",http://c.visuels.poliris.com/c175/c/1/4/f/c14fd57f-4026.jpg,1900,47.5,2.0,40.0
5,location Appartement 2 pièces Paris 5ème,"RÉF. 1585 - Appartement meublé d'environ 57 m², situé rue de Linné (...",http://7.visuels.poliris.com/c175/7/1/e/1/71e1bc8f-4fe2.jpg,2000,35.0877192982,2.0,57.0
2,location Appartement 1 pièce Paris 2ème,"RÉF. 10421 - Studio meublé d'environ 26 m², situé rue Tiquetonne (quartier...",http://1.visuels.poliris.com/c175/1/f/a/5/1fa57ed1-56cc.jpg,1100,42.3076923077,1.0,26.0
12,location Appartement 1 pièce Paris 12ème,"RÉF. 11624 - Studio meublé d'environ 20 m², situé rue de Charenton (...",http://0.visuels.poliris.com/c175/0/b/2/3/0b230b1d-3b65.jpg,980,49.0,1.0,20.0
3,location Appartement 1 pièce Paris 3ème,"RÉF. 12621 - Studio meublé d'environ 17 m², situé rue de Turenne (quartier...",http://0.visuels.poliris.com/c175/0/0/f/3/00f315b1-467d.jpg,900,52.9411764706,1.0,17.0
12,location Appartement 3 pièces Paris 12ème,"MEUBLE OUVERT A LA COLOCATION !. Secteur Daumesnil, rue de Taïti, dans un...",http://2.visuels.poliris.com/c175/2/5/8/b/258b31ca-6073.jpg,1481,30.8541666667,3.0,48.0
20,location Appartement 3 pièces Paris 20ème,"Appartement composé de trois pièces: un séjour avec cuisine, deux chambres...",,1045,19.3518518519,3.0,54.0
